COD_IMOVEL,NUM_AREA,COD_ESTADO,NOM_MUNICI,NUM_MODULO,TIPO_IMOVE,SITUACAO,CONDICAO_I
PA-1503457-5B9A46DEF6E74F969B9B49AC83F8619E,193.3310699346,PA,Ipixuna do Pará,3.5151000000,IRU,AT,Aguardando analise
PA-1503457-847558595612451584D6A005BEAD5704,314.7493631868,PA,Ipixuna do Pará,5.7227000000,IRU,AT,Aguardando analise
PA-1503457-371A74A18DD74A5198D97979421533D1,23.0833756215,PA,Ipixuna do Pará,0.4197000000,IRU,AT,Aguardando analise
PA-1503457-8B7050AA6C1C43C4B6EC606413B5A317,314.6514375382,PA,Ipixuna do Pará,5.7209000000,IRU,AT,Aguardando analise
PA-1503457-91FD8CCCF25C4A3FAF787194133FA8D2,193.6872079209,PA,Ipixuna do Pará,3.5216000000,IRU,AT,Aguardando analise
PA-1503457-41EDE7116DE84EC68C604FF56D65E7E2,194.4022434201,PA,Ipixuna do Pará,3.5346000000,IRU,AT,Aguardando analise
PA-1503457-E0B216A01E8B49F3BB9D7B11D1624007,193.7421454239,PA,Ipixuna do Pará,3.5226000000,IRU,AT,Aguardando analise
PA-1503457-963546B344B24F979890DB0A0CE59E00,92.7798348362,PA,Ipixuna do Pará,1.6869000000,IRU,AT,Aguardando analise
PA-1503457-470A7CC755E04B45886106C1EDA25889,1210.9204159926,PA,Ipixuna do Pará,22.0167000000,IRU,AT,Aguardando analise
PA-1503457-A0EDA38096244163B2893F1BCE59003A,4351.0911573242,PA,Ipixuna do Pará,79.1106000000,IRU,AT,"Analisado, aguardando regularização ambiental (Lei 12.651/12)"
PA-1503457-498A595C14DF4020BE89501D2703B342,83.6125000000,PA,Ipixuna do Pará,1.5202000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-C547E427D2DE475880915D294742A980,56.2280000000,PA,Ipixuna do Pará,1.0223000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-12A431A20E9943B798CB402501A20558,52.1288000000,PA,Ipixuna do Pará,0.9478000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-F9233294FD224CD994C4A669EBD60EEA,104.4140000000,PA,Ipixuna do Pará,1.8984000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-3771CF1AC09E43E0B5FCEF4D08749602,36.7679000000,PA,Ipixuna do Pará,0.6685000000,IRU,AT,Aguardando analise
PA-1503457-B51DC9201D724A77BE3F0B4F9BCD7A92,29.7200000000,PA,Ipixuna do Pará,0.5404000000,IRU,AT,Aguardando analise
PA-1503457-BEA994E3B9C54A4783E52FDD065F2BC7,41.4857000000,PA,Ipixuna do Pará,0.7543000000,IRU,AT,Aguardando analise
PA-1503457-709C6B5D4FF7490FADBF9E264D7653CE,20.8773000000,PA,Ipixuna do Pará,0.3796000000,IRU,AT,Aguardando analise
PA-1503457-5E0CBE96966F4495964B231CDCE34FFC,44.4720000000,PA,Ipixuna do Pará,0.8086000000,IRU,AT,Aguardando analise
PA-1503457-7D96C1A98553499FAC558D23BD739A98,70.9366000000,PA,Ipixuna do Pará,1.2898000000,IRU,AT,Aguardando analise
PA-1503457-758D15B312D5466CB999E19ACC48ED06,74.4735000000,PA,Ipixuna do Pará,1.3541000000,IRU,AT,Aguardando analise
PA-1503457-1FBC3418726148FDBDFA5901B24FDC47,14.9876000000,PA,Ipixuna do Pará,0.2725000000,IRU,AT,Aguardando analise
PA-1503457-41005174A7C9458B8269EDE3D9438FC8,23.4793000000,PA,Ipixuna do Pará,0.4269000000,IRU,AT,Aguardando analise
PA-1503457-DF49ACF8A5E54D088A6B77E9F96E4C19,24.0395000000,PA,Ipixuna do Pará,0.4371000000,IRU,AT,Aguardando analise
PA-1503457-118BF7671CC64D488968A89DF3CEC238,24.3633000000,PA,Ipixuna do Pará,0.4430000000,IRU,AT,Aguardando analise
PA-1503457-1886A50CD41248268709FA648709A409,55.6420000000,PA,Ipixuna do Pará,1.0117000000,IRU,AT,Aguardando analise
PA-1503457-9BC57CDA196647B3BBE6C79F97726E58,6.7843000000,PA,Ipixuna do Pará,0.1234000000,IRU,AT,Aguardando analise
PA-1503457-31ECBE6741234168A9CA321EA3AF65A3,85.8967000000,PA,Ipixuna do Pará,1.7179000000,IRU,AT,Aguardando analise
PA-1503457-A78948CA857D4E259B396F41FB6E7404,21.3882000000,PA,Ipixuna do Pará,0.3889000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-B157DA4C87D146C19D06198ACBB2E604,27.0701000000,PA,Ipixuna do Pará,0.4922000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-7A88B0DCA4A446DDBCAA603FC9D97CCD,22.4515000000,PA,Ipixuna do Pará,0.4082000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-46A79351329944999C156598B7F94948,25.8955000000,PA,Ipixuna do Pará,0.4708000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-1CFA3E26C64D4769A8DA7B0C27046809,26.6369000000,PA,Ipixuna do Pará,0.4843000000,IRU,AT,Aguardando analise
PA-1503457-47C3ADB54D964387822ACF3EDF80BA55,100.6496000000,PA,Ipixuna do Pará,1.8300000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-62BB5056C1D24515B3B0C511661B4C0F,57.2390000000,PA,Ipixuna do Pará,1.0407000000,IRU,AT,Aguardando analise
PA-1503457-C17D310E7C5B4E51BD546B6B4DA64325,95.0642000000,PA,Ipixuna do Pará,1.7284000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-B9D108275A9746E992FF63E290AE6521,25.1297000000,PA,Ipixuna do Pará,0.4569000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-B850DC9589A14120A5F5F3D0E7EBCA4C,102.8452000000,PA,Ipixuna do Pará,1.8699000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-8C4F8CFD383D4EF189BD2DBBEAE04529,3.1697000000,PA,Ipixuna do Pará,0.0576000000,IRU,AT,Aguardando analise
PA-1503457-D8C3AEB00A9B4E2383FB1F0563DA63B2,939.6029000000,PA,Ipixuna do Pará,17.0837000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-6264728745BD48AD815BA745B08E1CEA,25.5402000000,PA,Ipixuna do Pará,0.4644000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-D20A31FEA695450C90C0FD70A6C0E4A2,25.6994000000,PA,Ipixuna do Pará,0.4673000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-9D7BC864AD7A4E7F90FAA4C8DDB75480,27.1501000000,PA,Ipixuna do Pará,0.4936000000,IRU,AT,Aguardando analise
